"Product Number","Kpi Obj Catlog","Product Name","STANDARD_SKU_DESC","BRANDY_DESC","Sub Division Name","CATEGORY_DESC","SUB_CATEGORY_DESC","BRAND_DESC","BASE_UOM","Số lượng Base UOM / thùng","Số lượng pcs / Base UOM","Pcs / thùng","NET (Kg - base UOM)","Litre - Base UOM","Weight (case)","Primary UOM","Group SKU","Demand Planning Standard SKU Name","Innovation Name","Active Status","Local / Export / Others","Current Year Innovation(Y/N)","BU/Division","Innovation Type","Itemcode Type","Supply Strategy","Production Group","Launching Time"
"Chao cục_202407",,"CHAO ĂN LIỀN CHIN-SU 400G","CHAO ĂN LIỀN CHIN-SU 400G MIẾNG","Chinsu","Seasoning","Sauces","Other sauces","Chinsu","Hu",24,1,24,0.4,0,9.6,"Ton","Chao","CHAO ĂN LIỀN CHIN-SU 400G MIẾNG","Chao","Active","Local","Y","Seasoning","Innovation","Code tạm",,"Other Sauces","2024"
"Giấm_202309",,"GIẤM GẠO NCHV CHIN-SU 330ML","GIẤM GẠO NCHV CHIN-SU 330ML","Chinsu","Seasoning","Sauces","Other sauces","Chinsu","Hu",12,1,12,0.33,0.33,3.96,"Ton","Giấm","GIẤM GẠO NCHV CHIN-SU 330ML","Giấm","Active","Local","Y","Seasoning","Innovation","Code tạm",,"Other Sauces","2024"
"03NT00523",,"Nước tương CHIN-SU Nấm Shiitake 16bịch x 50gói x 7ml","Sachet NT","Chinsu","Seasoning","Sauces","Other sauces","Chinsu","Goi",16,50,800,0.35,0.35,5.6,"K.Lit","NT Chinsu Nấm","Sachet NT","Sachet NT","Active","Local",,"Seasoning",,"Code hệ thống",,"Soya Sauces",
"Sachet TC",,"Sachet TC","Sachet TC","Chinsu","Seasoning","Sauces","Other sauces","Chinsu","Goi",16,50,800,0.5,0,8,"Ton","Tomato sauce","Sachet TC","Sachet TC","Active","Local",,"Seasoning",,"Code tạm",,"Other Sauces",
"03OS00003","Dầu Hào Chinsu","Dầu hào CHIN-SU 48chai x 120gr","Oyster Sauces Chinsu 120gr","Chinsu tỏi ớt","Seasoning","Sauces","Oyster Sauces","Chinsu","Cha",48,1,48,0.15,0.15,7.2,"Ton","Oyster Sauce_Innovation","Oyster Sauces Chinsu 120gr","Dầu Hào Chinsu RL","Active","Local",,"Seasoning","Innovation","Code hệ thống",,"Other Sauces","2021-2022"
"03OT00143_TOCS.202407","TO NEW SKU Chấm hải sản","TO NEW SKU Chấm hải sản","TO NEW SKU Chấm hải sản","Chinsu","Seasoning","Sauces","Chilli Sauces","Chinsu","Blo",3,8,24,2,0,6,"Ton","TO Chinsu_Hải sản","TO NEW SKU Chấm hải sản","TO NEW SKU Chấm hải sản","Active","Local",,"Seasoning","Innovation","Code tạm",,"Paste Sauces","2024"
"03HG00067","Hạt nêm Chinsu","Hạt nêm CHIN-SU ngọt Tôm thơm thịt MB 16gói x 400gr","Granules Chinsu ngọt tôm thơm thịt 400gr","Ngọt Tôm thơm thịt","Seasoning","Dry Seasoning","Granules","Chinsu","Goi",16,1,16,0.4,0,6.4,"Ton","HN Chinsu","Granules Chinsu ngọt tôm thơm thịt 400gr",,"Active","Local",,"Seasoning",,"Code hệ thống",,"Granules","2019-2020"
"03HG00080","Hạt nêm Chinsu","Hạt nêm Chinsu ngọt Tôm thơm thịt (MT) 16gói x 400gr","Granules Chinsu ngọt tôm thơm thịt 400gr","Ngọt Tôm thơm thịt","Seasoning","Dry Seasoning","Granules","Chinsu","Goi",16,1,16,0.4,0,6.4,"Ton","HN Chinsu","Granules Chinsu ngọt tôm thơm thịt 400gr",,"Active","Local",,"Seasoning",,"Code hệ thống",,"Granules","2019-2020"
"03NM00719","NM Chinsu Cá Cơm Biển Đông VIP","Nước mắm CHIN-SU cá cơm Biển Đông MB 6chai x 500ml","Fish Sauces Chinsu Cá cơm Biển Đông 500ml","Chinsu cá cơm Biển Đông","Seasoning","Sauces","Fish Sauces","Chinsu","Cha",6,1,6,0.5,0.5,3,"K.Lit","CS CCBĐ VIP","Fish Sauces Chinsu cá cơm Biển Đông cốt nhĩ 500ml",,"Active","Local",,"Seasoning",,"Code hệ thống",,"Fish Sauces (Glass)","2021-2022"
"03NM00731","NM Chinsu Cá Cơm Biển Đông VIP","Nước mắm CHIN-SU cá cơm Biển Đông khẩu vị đang bán tại Nhật Bản 6chai x 500ml","Fish Sauces Chinsu cá cơm Biển Đông cốt nhĩ 500ml","Chinsu cá cơm Biển Đông","Seasoning","Sauces","Fish Sauces","Chinsu","Cha",6,1,6,0.5,0.5,3,"K.Lit","CS CCBĐ VIP","Fish Sauces Chinsu cá cơm Biển Đông cốt nhĩ 500ml","Innovation_ Nhật","Active","Local","Y","Seasoning","Carry-over Innovation","Code hệ thống",,"Fish Sauces (Glass)","2021-2022"
