Demand Planning Standard SKU Name,Group SKU,Channel,Sub Division Name,Duplication,1,2,3,4,5,6,7,8,9,10,11,12
Flavored Beer,Flavored Beer,GT0_C1,Beer,Flavored BeerFlavored BeerGT0_C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Condensed 60ml,Condensed 60ml,GT0,Refreshment Drinks,Condensed 60mlCondensed 60mlGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bengal Tiger,Bengal Tiger,GT0,Refreshment Drinks,Bengal TigerBengal TigerGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ED Innovation 3,ED Innovation 3,GT0,Refreshment Drinks,ED Innovation 3ED Innovation 3GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ED Innovation 4,ED Innovation 4,GT0,Refreshment Drinks,ED Innovation 4ED Innovation 4GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ED Innovation 5,ED Innovation 5,GT0,Refreshment Drinks,ED Innovation 5ED Innovation 5GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Icy Tea,Icy Tea,GT0,Refreshment Drinks,Icy TeaIcy TeaGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Faith Pro,Faith Pro,GT0,Refreshment Drinks,Faith ProFaith ProGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Non ED Innovation 3,Non ED Innovation 3,GT0,Refreshment Drinks,Non ED Innovation 3Non ED Innovation 3GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Non ED Innovation 4,Non ED Innovation 4,GT0,Refreshment Drinks,Non ED Innovation 4Non ED Innovation 4GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Non ED Innovation 5,Non ED Innovation 5,GT0,Refreshment Drinks,Non ED Innovation 5Non ED Innovation 5GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Condensed 60ml,Condensed 60ml,MT0,Refreshment Drinks,Condensed 60mlCondensed 60mlMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
